timestamp,value
1782034667.837,0.0
1782034668.837,0.0
1782034669.837,1.0
1782034670.837,0.0
1782034671.837,0.0
1782034672.837,0.0
1782034673.837,0.0
1782034674.837,1.0
1782034675.837,0.0
1782034676.837,0.0
1782034677.837,0.0
1782034678.837,0.0
1782034679.837,0.0
1782034680.837,0.0
1782034681.837,0.0
1782034682.837,0.0
1782034683.837,0.0
1782034684.837,0.0
1782034685.837,0.0
1782034686.837,0.0
1782034687.837,0.0
1782034688.837,0.0
1782034689.837,0.0
1782034690.837,0.0
1782034691.837,0.0
1782034692.837,0.0
1782034693.837,0.0
1782034694.837,0.0
1782034695.837,0.0
1782034696.837,0.0
1782034697.837,0.0
1782034698.837,0.0
1782034699.837,1.0
1782034700.837,1.0
1782034701.837,0.0
1782034702.837,0.0
1782034703.837,0.0
1782034704.837,0.0
1782034705.837,0.0
1782034706.837,1.0
1782034707.837,1.0
1782034708.837,4.0
1782034709.837,3.0
1782034710.837,0.0
1782034711.837,0.0
1782034712.837,0.0
1782034713.837,0.0
1782034714.837,0.0
1782034715.837,0.0
1782034716.837,0.0
1782034717.837,0.0
1782034718.837,0.0
1782034719.837,0.0
1782034720.837,0.0
1782034721.837,0.0
1782034722.837,0.0
1782034723.837,0.0
1782034724.837,0.0
1782034725.837,0.0
1782034726.837,0.0
1782034727.837,0.0
1782034728.837,0.0
1782034729.837,0.0
1782034730.837,0.0
1782034731.837,0.0
1782034732.837,0.0
1782034733.837,0.0
1782034734.837,0.0
1782034735.837,0.0
1782034736.837,0.0
1782034737.837,0.0
1782034738.837,0.0
1782034739.837,0.0
1782034740.837,0.0
1782034741.837,0.0
1782034742.837,0.0
1782034743.837,0.0
1782034744.837,0.0
1782034745.837,4245.0
1782034746.837,12879.0
1782034747.837,16401.0
1782034748.837,25154.0
1782034749.837,33090.0
1782034750.837,41692.0
1782034751.837,44836.0
1782034752.837,50741.0
1782034753.837,54269.0
1782034754.837,61503.0
1782034755.837,10762.0
1782034756.837,11896.0
1782034757.837,12437.0
1782034758.837,14029.0
1782034759.837,14834.0
1782034760.837,15598.0
1782034761.837,16960.0
1782034762.837,17478.0
1782034763.837,17711.0
1782034764.837,17832.0
1782034765.837,18655.0
1782034766.837,19045.0
1782034767.837,19373.0
1782034768.837,19004.0
1782034769.837,19194.0
1782034770.837,19366.0
1782034771.837,19734.0
1782034772.837,20043.0
1782034773.837,20173.0
1782034774.837,20684.0
1782034775.837,20796.0
1782034776.837,20927.0
1782034777.837,20843.0
1782034778.837,20936.0
1782034779.837,21023.0
1782034780.837,20967.0
1782034781.837,20861.0
1782034782.837,20710.0
1782034783.837,20558.0
1782034784.837,20536.0
1782034785.837,20397.0
1782034786.837,20087.0
1782034787.837,19858.0
1782034788.837,137704.0
1782034789.837,217405.0
1782034790.837,243546.0
1782034791.837,243546.0
1782034792.837,244342.0
1782034793.837,243859.0
1782034794.837,243517.0
1782034795.837,242342.0
1782034796.837,241281.0
1782034797.837,239128.0
1782034798.837,236896.0
1782034799.837,234704.0
1782034800.837,231797.0
1782034801.837,227628.0
1782034802.837,223584.0
1782034803.837,219548.0
1782034804.837,215324.0
1782034805.837,210930.0
1782034806.837,205390.0
1782034807.837,205390.0
1782034808.837,199898.0
1782034809.837,194433.0
1782034810.837,188922.0
1782034811.837,183681.0
1782034812.837,178043.0
1782034813.837,168145.0
1782034814.837,163341.0
1782034815.837,158587.0
1782034816.837,154232.0
1782034817.837,149840.0
1782034818.837,142297.0
1782034819.837,135203.0
1782034820.837,135203.0
1782034821.837,80190.0
1782034822.837,118272.0
1782034823.837,120042.0
1782034824.837,116216.0
1782034825.837,112419.0
1782034826.837,108424.0
1782034827.837,104379.0
