timestamp,value
1782034650.837,4.0
1782034651.837,4.0
1782034652.837,4.0
1782034653.837,4.0
1782034654.837,4.0
1782034655.837,4.0
1782034656.837,4.0
1782034657.837,4.0
1782034658.837,4.0
1782034659.837,4.0
1782034660.837,4.0
1782034661.837,4.0
1782034662.837,4.0
1782034663.837,4.0
1782034664.837,4.0
1782034665.837,4.0
1782034666.837,4.0
1782034667.837,4.0
1782034668.837,4.0
1782034669.837,4.0
1782034670.837,4.0
1782034671.837,4.0
1782034672.837,4.0
1782034673.837,4.0
1782034674.837,4.0
1782034675.837,4.0
1782034676.837,4.0
1782034677.837,4.0
1782034678.837,4.0
1782034679.837,4.0
1782034680.837,4.0
1782034681.837,4.0
1782034682.837,4.0
1782034683.837,4.0
1782034684.837,4.0
1782034685.837,4.0
1782034686.837,4.0
1782034687.837,4.0
1782034688.837,4.0
1782034689.837,4.0
1782034690.837,4.0
1782034691.837,4.0
1782034692.837,4.0
1782034693.837,4.0
1782034694.837,4.0
1782034695.837,4.0
1782034696.837,4.0
1782034697.837,4.0
1782034698.837,4.0
1782034699.837,4.0
1782034700.837,4.0
1782034701.837,4.0
1782034702.837,4.0
1782034703.837,4.0
1782034704.837,4.0
1782034705.837,4.0
1782034706.837,4.0
1782034707.837,4.0
1782034708.837,4.0
1782034709.837,4.0
1782034710.837,4.0
1782034711.837,4.0
1782034712.837,4.0
1782034713.837,4.0
1782034714.837,4.0
1782034715.837,4.0
1782034716.837,4.0
1782034717.837,4.0
1782034718.837,4.0
1782034719.837,4.0
1782034720.837,4.0
1782034721.837,4.0
1782034722.837,4.0
1782034723.837,4.0
1782034724.837,4.0
1782034725.837,4.0
1782034726.837,4.0
1782034727.837,4.0
1782034728.837,4.0
1782034729.837,4.0
1782034730.837,4.0
1782034731.837,4.0
1782034732.837,4.0
1782034733.837,4.0
1782034734.837,4.0
1782034735.837,4.0
1782034736.837,4.0
1782034737.837,4.0
1782034738.837,4.0
1782034739.837,4.0
1782034740.837,4.0
1782034741.837,4.0
1782034742.837,4.0
1782034743.837,4.0
1782034744.837,4.0
1782034745.837,4.0
1782034746.837,4.0
1782034747.837,4.0
1782034748.837,4.0
1782034749.837,4.0
1782034750.837,4.0
1782034751.837,5.0
1782034752.837,5.0
1782034753.837,5.0
1782034754.837,5.0
1782034755.837,5.0
1782034756.837,5.0
1782034757.837,5.0
1782034758.837,5.0
1782034759.837,5.0
1782034760.837,5.0
1782034761.837,5.0
1782034762.837,5.0
1782034763.837,5.0
1782034764.837,5.0
1782034765.837,5.0
1782034766.837,5.0
1782034767.837,5.0
1782034768.837,5.0
1782034769.837,5.0
1782034770.837,5.0
1782034771.837,5.0
1782034772.837,5.0
1782034773.837,5.0
1782034774.837,5.0
1782034775.837,5.0
1782034776.837,5.0
1782034777.837,5.0
1782034778.837,5.0
1782034779.837,5.0
1782034780.837,5.0
1782034781.837,5.0
1782034782.837,5.0
1782034783.837,5.0
1782034784.837,5.0
