timestamp,value
1782052755.02,0.0
1782052756.02,0.0
1782052757.02,0.0
1782052758.02,0.0
1782052759.02,0.0
1782052760.02,0.0
1782052761.02,1.0
1782052762.02,0.0
1782052763.02,1.0
1782052764.02,0.0
1782052765.02,0.0
1782052766.02,0.0
1782052767.02,0.0
1782052768.02,0.0
1782052769.02,0.0
1782052770.02,0.0
1782052771.02,0.0
1782052772.02,0.0
1782052773.02,0.0
1782052774.02,0.0
1782052775.02,0.0
1782052776.02,0.0
1782052777.02,0.0
1782052778.02,0.0
1782052779.02,0.0
1782052780.02,0.0
1782052781.02,0.0
1782052782.02,0.0
1782052783.02,0.0
1782052784.02,0.0
1782052785.02,0.0
1782052786.02,0.0
1782052787.02,1.0
1782052788.02,1.0
1782052789.02,0.0
1782052790.02,3.0
1782052791.02,2.0
1782052792.02,0.0
1782052793.02,2.0
1782052794.02,0.0
1782052795.02,0.0
1782052796.02,3.0
1782052797.02,2.0
1782052798.02,4.0
1782052799.02,0.0
1782052800.02,0.0
1782052801.02,0.0
1782052802.02,0.0
1782052803.02,0.0
1782052804.02,0.0
1782052805.02,0.0
1782052806.02,0.0
1782052807.02,0.0
1782052808.02,0.0
1782052809.02,0.0
1782052810.02,0.0
1782052811.02,0.0
1782052812.02,0.0
1782052813.02,0.0
1782052814.02,0.0
1782052815.02,0.0
1782052816.02,0.0
1782052817.02,0.0
1782052818.02,0.0
1782052819.02,0.0
1782052820.02,0.0
1782052821.02,0.0
1782052822.02,0.0
1782052823.02,0.0
1782052824.02,0.0
1782052825.02,0.0
1782052826.02,2001.0
1782052827.02,0.0
1782052828.02,2752.0
1782052829.02,12652.0
1782052830.02,12652.0
1782052831.02,29391.0
1782052832.02,24190.0
1782052833.02,34475.0
1782052834.02,44092.0
1782052835.02,53617.0
1782052836.02,62622.0
1782052837.02,71646.0
1782052838.02,79505.0
1782052839.02,88154.0
1782052840.02,96451.0
1782052841.02,105597.0
1782052842.02,113994.0
1782052843.02,113994.0
1782052844.02,124494.0
1782052845.02,132950.0
1782052846.02,144029.0
1782052847.02,154229.0
1782052848.02,162759.0
1782052849.02,168680.0
1782052850.02,178647.0
1782052851.02,186048.0
1782052852.02,194235.0
1782052853.02,200496.0
1782052854.02,206428.0
1782052855.02,213066.0
1782052856.02,220457.0
1782052857.02,226483.0
1782052858.02,233814.0
1782052859.02,233814.0
1782052860.02,239245.0
1782052861.02,244900.0
1782052862.02,251483.0
1782052863.02,255741.0
1782052864.02,260507.0
1782052865.02,263644.0
1782052866.02,263644.0
1782052867.02,263644.0
1782052868.02,19132.0
1782052869.02,19132.0
1782052870.02,17144.0
1782052871.02,17144.0
1782052872.02,17144.0
1782052873.02,20117.0
1782052874.02,20117.0
1782052875.02,20117.0
1782052876.02,21695.0
1782052877.02,21695.0
1782052878.02,21695.0
1782052879.02,24036.0
1782052880.02,24036.0
1782052881.02,24036.0
1782052882.02,25051.0
1782052883.02,25051.0
1782052884.02,26665.0
1782052885.02,26665.0
1782052886.02,28075.0
1782052887.02,28075.0
1782052888.02,28756.0
1782052889.02,28756.0
1782052890.02,29274.0
1782052891.02,30186.0
1782052892.02,30186.0
1782052893.02,30153.0
1782052894.02,30153.0
1782052895.02,29832.0
1782052896.02,29832.0
1782052897.02,29470.0
1782052898.02,29470.0
1782052899.02,29578.0
1782052900.02,29272.0
1782052901.02,29272.0
1782052902.02,28459.0
1782052903.02,28522.0
1782052904.02,28522.0
1782052905.02,27959.0
1782052906.02,27806.0
1782052907.02,27806.0
1782052908.02,27690.0
1782052909.02,27690.0
1782052910.02,27753.0
1782052911.02,28701.0
1782052912.02,28701.0
1782052913.02,29451.0
1782052914.02,30799.0
1782052915.02,30442.0
1782052916.02,31473.0
1782052917.02,32370.0
1782052918.02,32370.0
1782052919.02,33172.0
1782052920.02,34259.0
1782052921.02,34259.0
1782052922.02,35067.0
1782052923.02,35896.0
1782052924.02,35896.0
1782052925.02,34968.0
1782052926.02,36077.0
1782052927.02,36077.0
1782052928.02,36943.0
1782052929.02,35812.0
1782052930.02,36399.0
1782052931.02,36399.0
1782052932.02,36925.0
1782052933.02,36947.0
1782052934.02,36947.0
1782052935.02,37110.0
1782052936.02,37033.0
1782052937.02,37033.0
1782052938.02,35209.0
1782052939.02,35209.0
1782052940.02,34888.0
1782052941.02,34888.0
1782052942.02,32449.0
1782052943.02,32449.0
1782052944.02,32449.0
1782052945.02,28918.0
1782052946.02,28918.0
1782052947.02,23816.0
1782052948.02,23816.0
1782052949.02,23816.0
1782052950.02,21489.0
1782052951.02,21489.0
1782052952.02,21489.0
1782052953.02,18299.0
1782052954.02,18299.0
1782052955.02,17535.0
1782052956.02,17535.0
1782052957.02,17535.0
1782052958.02,16260.0
1782052959.02,16260.0
1782052960.02,16694.0
1782052961.02,16694.0
1782052962.02,16694.0
1782052963.02,16002.0
1782052964.02,16002.0
1782052965.02,15020.0
1782052966.02,15020.0
1782052967.02,15020.0
1782052968.02,16442.0
1782052969.02,16442.0
1782052970.02,17967.0
1782052971.02,17967.0
1782052972.02,20244.0
1782052973.02,20244.0
1782052974.02,20244.0
1782052975.02,22962.0
1782052976.02,22962.0
1782052977.02,24829.0
1782052978.02,24829.0
1782052979.02,28016.0
1782052980.02,28016.0
1782052981.02,28016.0
1782052982.02,31852.0
1782052983.02,31852.0
1782052984.02,35423.0
1782052985.02,35423.0
1782052986.02,35423.0
1782052987.02,39417.0
1782052988.02,39417.0
1782052989.02,39417.0
1782052990.02,43560.0
1782052991.02,43560.0
1782052992.02,43560.0
1782052993.02,48692.0
1782052994.02,48692.0
1782052995.02,54567.0
1782052996.02,54567.0
1782052997.02,54567.0
1782052998.02,59463.0
1782052999.02,59463.0
1782053000.02,65370.0
1782053001.02,65370.0
1782053002.02,70072.0
1782053003.02,70072.0
1782053004.02,73823.0
1782053005.02,73823.0
1782053006.02,73823.0
1782053007.02,76466.0
1782053008.02,76466.0
1782053009.02,80286.0
1782053010.02,80286.0
1782053011.02,80286.0
1782053012.02,84643.0
1782053013.02,84643.0
1782053014.02,89045.0
1782053015.02,89045.0
1782053016.02,89045.0
1782053017.02,92864.0
1782053018.02,92864.0
1782053019.02,92864.0
1782053020.02,97443.0
1782053021.02,97443.0
1782053022.02,101767.0
1782053023.02,101767.0
1782053024.02,101767.0
1782053025.02,103566.0
1782053026.02,103566.0
1782053027.02,106547.0
1782053028.02,106547.0
1782053029.02,108857.0
1782053030.02,108857.0
1782053031.02,108857.0
1782053032.02,110825.0
1782053033.02,110825.0
1782053034.02,112130.0
1782053035.02,112130.0
1782053036.02,113210.0
1782053037.02,113210.0
1782053038.02,113573.0
1782053039.02,113573.0
1782053040.02,113887.0
1782053041.02,113887.0
1782053042.02,113887.0
1782053043.02,113248.0
1782053044.02,113248.0
1782053045.02,112629.0
1782053046.02,112629.0
1782053047.02,112629.0
1782053048.02,111869.0
1782053049.02,111869.0
1782053050.02,109782.0
1782053051.02,109782.0
1782053052.02,108503.0
1782053053.02,108503.0
1782053054.02,108503.0
1782053055.02,106697.0
1782053056.02,106697.0
1782053057.02,104905.0
1782053058.02,104905.0
1782053059.02,103105.0
1782053060.02,103105.0
1782053061.02,103105.0
1782053062.02,101342.0
1782053063.02,101342.0
1782053064.02,99576.0
1782053065.02,99576.0
1782053066.02,99576.0
1782053067.02,97682.0
1782053068.02,97682.0
1782053069.02,96152.0
1782053070.02,96152.0
1782053071.02,96152.0
1782053072.02,94766.0
1782053073.02,94766.0
1782053074.02,93495.0
1782053075.02,93495.0
1782053076.02,92062.0
1782053077.02,92062.0
1782053078.02,92062.0
