timestamp,value
1782052738.02,4.0
1782052739.02,4.0
1782052740.02,4.0
1782052741.02,4.0
1782052742.02,4.0
1782052743.02,4.0
1782052744.02,4.0
1782052745.02,4.0
1782052746.02,4.0
1782052747.02,4.0
1782052748.02,4.0
1782052749.02,4.0
1782052750.02,4.0
1782052751.02,4.0
1782052752.02,4.0
1782052753.02,4.0
1782052754.02,4.0
1782052755.02,4.0
1782052756.02,4.0
1782052757.02,4.0
1782052758.02,4.0
1782052759.02,4.0
1782052760.02,4.0
1782052761.02,4.0
1782052762.02,4.0
1782052763.02,4.0
1782052764.02,4.0
1782052765.02,4.0
1782052766.02,4.0
1782052767.02,4.0
1782052768.02,4.0
1782052769.02,4.0
1782052770.02,4.0
1782052771.02,4.0
1782052772.02,4.0
1782052773.02,4.0
1782052774.02,4.0
1782052775.02,4.0
1782052776.02,4.0
1782052777.02,4.0
1782052778.02,4.0
1782052779.02,4.0
1782052780.02,4.0
1782052781.02,4.0
1782052782.02,4.0
1782052783.02,4.0
1782052784.02,4.0
1782052785.02,4.0
1782052786.02,4.0
1782052787.02,4.0
1782052788.02,4.0
1782052789.02,4.0
1782052790.02,4.0
1782052791.02,4.0
1782052792.02,4.0
1782052793.02,4.0
1782052794.02,4.0
1782052795.02,4.0
1782052796.02,4.0
1782052797.02,4.0
1782052798.02,4.0
1782052799.02,4.0
1782052800.02,4.0
1782052801.02,4.0
1782052802.02,4.0
1782052803.02,4.0
1782052804.02,4.0
1782052805.02,4.0
1782052806.02,4.0
1782052807.02,4.0
1782052808.02,4.0
1782052809.02,4.0
1782052810.02,4.0
1782052811.02,4.0
1782052812.02,4.0
1782052813.02,4.0
1782052814.02,4.0
1782052815.02,4.0
1782052816.02,4.0
1782052817.02,4.0
1782052818.02,4.0
1782052819.02,4.0
1782052820.02,4.0
1782052821.02,4.0
1782052822.02,4.0
1782052823.02,4.0
1782052824.02,4.0
1782052825.02,4.0
1782052826.02,6.0
1782052827.02,6.0
1782052828.02,6.0
1782052829.02,6.0
